Label,data,,,
education," More students, increased capacity, same space  An increase in student registration left Wageningen University scrambling for classrooms. Building intelligence firm Lone Rooftop showed them how to optimize existing space with real-time occupancy data. ",,,
education,"On-the-go access  At Watkins Glen Central School District, bus rides between home and school can take up to 40 minutes each way, with sports events and field trips extending travel time to two hours or more. The school district uses Cisco technology to make sure no students were disadvantaged due to where they lived or what they were participating in",,,
education,     Many schools in Wayne Highlands require high-performing technology     Implementing fiber optics in rural areas has been a challenge     Basic network coverage is limiting ,,,
agriculture,"Probably the most popular smart agriculture gadgets are weather stations, combining various smart farming sensors. Located across the field, they collect various data from the environment and send it to the cloud. The provided measurements can be used to map the climate conditions, choose the appropriate crops, and take the required measures to improve their capacity (i.e. precision farming).",,,
agriculture,"In addition to sourcing environmental data, weather stations can automatically adjust the conditions to match the given parameters. Specifically, greenhouse automation systems use a similar principle.  For instance, Farmapp and Growlink are also IoT agriculture products offering such capabilities among others.  GreenIQ is also an interesting product that uses smart agriculture sensors. It is a smart sprinklers controller that allows you to manage your irrigation and lighting systems remotely",,,
agriculture,"One more type of IoT product in agriculture and another element of precision farming are crop management devices. Just like weather stations, they should be placed in the field to collect data specific to crop farming; from temperature and precipitation to leaf water potential and overall crop health.  Thus, you can monitor your crop growth and any anomalies to effectively prevent any diseases or infestations that can harm your yield. Arable and Semios can serve as good representations of how this use case can be applied in real life.",,,
agriculture,"Just like crop monitoring, there are IoT agriculture sensors that can be attached to the animals on a farm to monitor their health and log performance. This works similarly to IoT devices for petcare.  For example, SCR by Allflex and Cowlar use smart agriculture sensors (collar tags) to deliver temperature, health, activity, and nutrition insights on each individual cow as well as collective information about the herd",,,
agriculture,"A more complex approach to IoT products in agriculture can be represented by the so-called farm productivity management systems. They usually include a number of agriculture IoT devices and sensors, installed on the premises as well as a powerful dashboard with analytical capabilities and in-built accounting/reporting features.  This offers remote farm monitoring capabilities and allows you to streamline most of the business operations. Similar solutions are represented by FarmLogs and Cropio.  In addition to the listed IoT agriculture use cases, some prominent opportunities include vehicle tracking (or even automation), storage management, logistics, etc.",,,
agriculture,"With fruit being one of Chile�s largest exports, farmers in country need to be able to produce large amounts in order to satisfy demand. According to researchers at Chile�s UCSC University, the implementation of remote sensors around farming areas has reduced the volume of water used by 70%. The placement of sensors in the soil allowed farmers and researchers to monitor the conditions of the soil as well as the plant�s requirements. In doing so, farmers were able to optimize their irrigation process in order to use less water while increasing plant yields due to optimized conditions.",,,
agriculture,"Crop diseases are one of many hurdles farmers and those working in agriculture have to continually deal with. One way in which farmers in the Indian State of Punjab are fighting these diseases is through the data collected by IoT-enabled remote sensors. By monitoring conditions such as humidity, rainfall and temperature levels, farmers are able to better determine their crops susceptibility to disease and act accordingly. With India�s population now surpassing a whopping 1.2 billion people, the ability of farmers across the country to grow crops with a reduced risk of failure due to disease is essential. Smart Farming IoT solutions promise to provide greater food-security and optimized yield for this largely agrarian economy.",,,
agriculture,"Another battle farmers are constantly fighting is that with pests. Greenflies and fruit flies are among those targeted by farmers in order to protect their crops. In Slovenia, several fruit growers have begun to use data and automation to fight back against these pests. By using the data collected from remote sensors and other equipment, growers can begin to understand their fruit or crop�s growing habits better which can then help manage pests more effectively. Using similar methods, data from such sensors has also been used to automate and enhance the efficacy of spraying pesticides which can also save time, money and resources.  So, we�ve now seen how the adoption of Internet of Things applications in agriculture is making a real difference, not only by speeding things up or automating them, but by also providing the data that enables those working in farming and agriculture to visualize their performance and actively take steps to improve their operations and end product. However, don�t go thinking that the integration of IoT applications in agriculture don�t come with challenges of their own. In order to best realize the potential for these applications, farmers and those working agriculture will need to encourage new practices and procedures in order to secure and maintain these network systems.",,,
healthcare,"GlaxoSmithKline � Bioelectronic medicine GSK�s Bioelectronics unit is developing miniaturised,  implantable connected devices to treat chronic diseases  such as diabetes or arthritis. As these will rely on mobile  networks to communicate back with the physicians for  monitoring purposes and to adjust the treatment, having  a secure, reliable and dedicated �network slice� would be a  major advantage",,,
healthcare,"The Technology Integrated Health Management project  is developing patient and home monitoring solutions  for patients with dementia, which could benefit from the  increased bandwidth, reliability, security and device-to- device connectivity that can be supported by 5G networks  in the future",,,
agriculture,"CHAP is developing a SMART Decision Support Unit that  helps inform farmers about the risks from pathogens,  pests and weeds in order to reduce the use of pesticides.  This solution could benefit from next generation mobile  networks as more data could be included in the analysis,  and agricultural machinery could be connected to  autonomously take action",,,
agriculture,"Vodafone is already able to provide drone connectivity  using 4G network capability. Vodafone is also working with  partners on the use of �drones as a service� for future  applications, e.g. automatic drones for precision farming or  protecting critical infrastructure. Controlling the drones over  a 5G network would yield a number of important benefits",,,
automative,"Vodafone is trialling vehicle-to-vehicle communication  as well as geo-messaging solutions for cars along the A9  highway in Germany, between Munich and Ingolstadt, using  an advanced version of long term evolution (LTE), as part of  a testbed with other partners for future 5G services.",,,
automative,"Scania is a frontrunner in connected vehicles, having over  200,000 connected vehicles on the road today. Scania has been  trialling platooning for several years and has now started a 5G trial  to look at the benefits of next generation mobile networks for  autonomous driving and platooning",,,
automative,"Connected and autonomous vehicle technologies are one  of Jaguar Land Rover�s key priorities, and it is in a suite of  research projects including trialling vehicle-to-vehicle  and vehicle-to-infrastructure applications based on C-V2X connectivity, which is essentially a precursor of  5G technologies.",,,
automative,"Roborace is currently developing autonomous electric  cars that will be used in car racing championships  around the world. The solution could benefit from 5G as  it would enhance safe operations, create a more dynamic  environment and enable new applications within the  Roborace experience, such as video broadcasting.",,,
automative,Audi would benefit from the introduction of 5G networks to  improve pre-production and production processes as well  as post-production maintenance of fleet and vehicles.,,,
manufacturing,"Smart cities and smart homes, often referred to as smart society, will be embedded with dense wireless  sensor networks. Distributed networks of intelligent sensors will identify conditions for cost -and  energy-efficient maintenance of the city or home.  A similar setup can be done for each home, where  temperature sensors, window and heating controllers, burglar alarms and home appliances are all  connected wirelessly. Many of these sensors are typically low data rate, low power and low cost, but for  example, real time HD video may be required in some types of devices for surveillance. The task for 5G will  be to integrate the management of these very diverse connected devices.",,,
healthcare,"The health sector has many applications that can benefit from mobile communications. Communications  systems enable telemedicine, which provides clinical health care at a distance. It helps eliminate distance  barriers and can improve access to medical services that would often not be consistently available in  distant rural communities. It is also used to save lives in critical care and emergency situations. Wireless sensor networks based on mobile communication can provide remote monitoring & sensors for  parameters such as heart rate and blood pressure",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailWith brand new silicon, a vibrant support network, and a profile burnished in the early IoT rush, LoRa specialist Semtech is looking to spread its wings and rise above the � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailThe sense to design and build a custom system-on-chip (SoC) is plain, we understand from an earlier companion piece. As we also understand, from the first part of this post, � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailWill blockchain help to democratise power generation and power consumption? It is a tangential, and tech-minded, question, which came out of the central narrative at European Utility Week 2018 in Vienna � ",,,manufacturing
manufacturing,FacebookGoogle+TwitterLinkedinemailThe planet�s appetite for energy is growing,,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailWill blockchain help to democratise power generation and power consumption? It is a tangential, and tech-minded, question, which came out of the central narrative at European Utility Week 2018 in Vienna � ",,,
manufacturing,FacebookGoogle+TwitterLinkedinemailThe European Commission (EC) will make usage of the 900MHz band for short-range devices consistent across all member states. The move will make the 874-876 and 915-921 MHz bands a � ,,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailThe smart home space has been a busy one over the last few years. If anything, the pace of innovation is accelerating. Research consultancy Market Insights predicts the market�s total � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailWe have 12 years to save the planet, calculate scientists in the starkest warning yet that our chances of tackling climate change and averting disaster are slipping away. After 2030, � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailAT&T has signed with caravan maker Airstream to make its �Silver Bullet� travel trailers smart. The pair claim its iconic RV wagons will be the �most high-tech� on the road, � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailMainstream appliance manufacturers Electrolux, Haier, LG Electronics and Samsung Electronics will introduce smart-home products based on an emerging �internet-of-things� (IoT) standard from the Open Connectivity Foundation (OCF) next year. The � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailAnnual shipments of Zigbee chipsets will reach one billion by 2023, mostly in smart home sensors, accounting for 85 per cent of IEEE 802.15.4 mesh network devices. Half a billion � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailThe market value for environmental gas sensors will be worth more than $3 billion by 2028, according to a new report from market research company IDTechEx. Most growth will come � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailThe new platform, dubbed Orange Fab, was launched in partnership with a group of investors and companies   French telecommunication group Orange has launched Orange Fab, a Silicon Valley acceleration � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailA great number of enterprise IoT projects remain stuck in pilots, put aside for another day. Before they even start, the challenge is how to make money from, at least � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailJust as computing continues to evolve with new innovations (graphical interfaces, PC networks, internet connectivity, mobile devices, apps, Internet of Things), the vision of smart homes is, in step-wise fashion, � ",,,
manufacturing,FacebookGoogle+TwitterLinkedinemailMicrosoft wants to make sure its Cortana personal assistant isn�t dropped at the door when users get home from work. The software giant is partnering with Amazon to integrate Cortana � ,,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailTwo of the biggest business success stories in U.S. history are joining forces, as Google and Walmart team up to enable the purchase of hundreds of thousands of products via � ",,,
manufacturing,FacebookGoogle+TwitterLinkedinemailThe words �Unknown caller� on a ringing cell phone may no longer be a sign that the call is going straight to voicemail. Soon those calls may come from friends � ,,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailCameras that monitor the home environment are seen as both creepy and convenient, but investors and technologists are betting that convenience will win out, as homeowners see the value in � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailGoogle�s Nest has had a mixed track record in recent years, but the company�s smart cameras could represent a turning point. The Nest Cam IQ incorporates Google�s facial recognition software, � ",,,
manufacturing,"FacebookGoogle+TwitterLinkedinemailA concoction of low cost computing, plentiful wireless communication protocols and improved battery life has created the perfect environment for �connected things� deployments in diverse scenarios, ranging from factory floors � ",,,
agriculture,"FacebookGoogle+TwitterLinkedinemailCannabis growers, like other agriculturalists, are turning to internet-of-things (IoT) technologies, essentially comprising sensor devices and data analytics, to bring new efficiencies to their operations, and improve yields and profits. � ",,,
agriculture,"FacebookGoogle+TwitterLinkedinemailCisco is making the business case for mobile operators to install 5G masts in rural regions based on connecting livestock, rather than people. The company, leading a network of 29 � ",,,
automative,"FacebookGoogle+TwitterLinkedinemailAs we have seen already, through separate discussion of Hitachi�s approach to �predictive quality� and �dynamic scheduling�, the digital transformation of industry is multi-faceted. There is a third way, apart � ",,,
agriculture,"FacebookGoogle+TwitterLinkedinemailTelecoms operator Deutsche Telekom has connected two beehives in the grounds of its headquarters in Bonn, in Germany, to its narrowband-IoT (NB-IoT) network, as it seeks to use digital technologies � ",,,
agriculture,"FacebookGoogle+TwitterLinkedinemailFarming is wasteful and resources are dwindling. The role of the internet of things (IoT) and artificial intelligence (AI) in smart agriculture has never been so important, says Monsanto. They � ",,,
healthcare,"FacebookGoogle+TwitterLinkedinemailBringing the IoT to health care one use case at a time While vaccines save millions of lives each year about 1.5 million children die each year from vaccine-preventable diseases, � ",,,
automative,"FacebookGoogle+TwitterLinkedinemail At least five additional German cities have already signed smart parking deals with the telco Deutsche Telekom is working with the city government of Bonn, in Germany, to implement a � ",,,
automative,"FacebookGoogle+TwitterLinkedinemailThe sensors continuously measure and record tire temperature and pressure, which is paired with other vehicle data Goodyear has launched an intelligent tire trial in cooperation with Tesloop, a city-to-city � ",,,
agriculture,"FacebookGoogle+TwitterLinkedinemailLTE-M and NB-IoT enable capabilities for asset tracking, smart meters and other key IoT applications; plus drones controlled over commercial LTE networks Many industry watchers, including me, have referred to � ",,,
agriculture,"FacebookGoogle+TwitterLinkedinemail 4 reasons IoT on wheels is accelerating and will be bigger than the connected car market With headline-grabbing bells and whistles, the growing cult around connected cars is understandable. � ",,,
agriculture,FacebookGoogle+TwitterLinkedinemailThe internet of things (IoT) is helping farmers in developed and emerging countries improve the productivity of agriculture Precision agriculture can help farmers deal with a number of challenges such � ,,,
automative,"FacebookGoogle+TwitterLinkedinemailDeep dive: Utilizing IoT technology for improved traffic safety, intelligent transportation systems and connected and automated vehicles Dave Sparks, Senior Research Scientist, Transportation Operations Group, Texas A&M Transportation Institute discusses � ",,,
healthcare,"FacebookGoogle+TwitterLinkedinemailAT&T is inviting companies in the manufacturing, retail, health, finance, and public sector industries into its Foundry innovation lab in Plano, Texas, for the first time to collaborate on new � ",,,
healthcare,FacebookGoogle+TwitterLinkedinemail  AT&T said the device syncs to the cloud via AT&T�s network   AT&T and Hanger have developed a proof of concept for what they claim is the industry�s first � ,,,
healthcare,"FacebookGoogle+TwitterLinkedinemailThe role of connectivity in healthcare applications has been growing exponentially in recent years and evolving to be a must-have feature in medical devices. According to Vodafone IoT Barometer report, � ",,,
healthcare,"FacebookGoogle+TwitterLinkedinemailIn the new age of Internet of Medical Things, battery life plays an increasingly important role in medical device design. Gaining insights into your device�s power consumption can inform your � ",,,
healthcare,"FacebookGoogle+TwitterLinkedinemailCanadian IoT platform provider ThoughtWire has produced five new applications for building owners and healthcare providers to manage connected �people, systems and things�. ThoughtWire has introduced two new applications as � ",,,
agriculture,"Also known as precision agriculture, precision farming can be thought of as anything that makes the farming practice more controlled and accurate when it comes to raising livestock and growing of crops. In this approach of farm management, a key component is the use of IT and various items like sensors, control systems, robotics, autonomous vehicles, automated hardware, variable rate technology, and so on.  The adoption of access to high-speed internet, mobile devices, and reliable, low-cost satellites (for imagery and positioning) by the manufacturer are few key technologies characterizing the precision agriculture trend.",,,
agriculture,"Technology has changed over time and agricultural drones are a very good example of this. Today, agriculture is one of the major industries to incorporate drones. Drones are being used in agriculture in order to enhance various agricultural practices. The ways ground-based and aerial based drones are being used in agriculture are crop health assessment, irrigation, crop monitoring, crop spraying, planting, and soil and field analysis.",,,
agriculture,"Large farm owners can utilize wireless IoT applications to collect data regarding the location, well-being, and health of their cattle. This information helps them in identifying animals that are sick so they can be separated from the herd, thereby preventing the spread of disease. It also lowers labor costs as ranchers can locate their cattle with the help of IoT based sensors.",,,
agriculture,"Greenhouse farming is a methodology that helps in enhancing the yield of vegetables, fruits, crops etc. Greenhouses control the environmental parameters through manual intervention or a proportional control mechanism. As manual intervention results in production loss, energy loss, and labor cost, these methods are less effective. A smart greenhouse can be designed with the help of IoT; this design intelligently monitors as well as controls the climate, eliminating the need for manual intervention.",,,
automative,"The rail operator manages rail infrastructure (track, stations, tunnels and signalling) on a  line where tr ains reach speeds of up to 300 kilometres  per hour (186 mph) . In terms of  wireless connectivity, they see two main advantages and priorities: ",,,
automative,"According to DfT ; the in - train Wi - Fi programme will cover data (broadband) and voice  (over  Wi - Fi).  DfT is assuming passengers have (or will have) devices that support Wi - Fi  calling. MNO in - carriage coverage, as op posed to Wi - Fi coverage, is not a requirement as  it does not give universal internet access to all subscribers and passengers, given that not  all operators will have continuous coverage everywhere",,,
healthcare,Dramatic  reduc tion of  hospital  a dmissions ? 25% of hospital in  patients are dementia  sufferers and could  potentially be cared for  remotely ? Estimated cost of �26  billion a year to the UK  (NHS and private  individuals) from Future Use  Cases for Mobile Telecoms in the UK Issue date: October 2016 Version: 1.0 53 dementia which could  be reduced,,,
healthcare,"Fewer missed  appointments which  co sts the NHS over  �1bn per  year ? More efficient care for  chronic conditions such  as Type 2 diabetes  ( NHS spends �10 billion  a year, 10% of budget) ",,,
healthcare,High potentially  of  reduced health needs if  consumers ta ke better  control of own health ? Reduced strain on NHS  from UK having highest  obesity rate in Western  Europe ? Less health costs and  reduced insurance  premium,,,
healthcare,"US based Gecko Health Innovations, acquired by Teva pharmaceuticals in September  2015, has developed their CareTRx� platform for tracking and managing chronic  respiratory diseases.  A sensor device connects to the patient�s inhaler which tracks use  and gives patients reminders of doses.  Sensor information is collated by the CareTRx�  Journal App which tracks and records medications, symptoms, triggers, peak flow  measurements and flare  ups.  The patient can then view statistics and get feedback on  their use of their inhaler and share with medical teams",,,
healthcare,"TIHM (Technology Integrated Health Management) for dementia is a new research study  funded by NHS England and Innovate UK with the key aims of improving the quality of  life for dementia patients and their carers. The study also aims to reduce hospital  admissions and in - patient volumes related to dementia by providing remote care an d  monitoring of patients in their own homes.  This study tackles a big issue for UK health  currently with more than 25% of hospital in - patients in 2014 - 2015 suffering from  dementia [ 59 ] and an estimated cost of dementia to the UK of �26 billion per year (two  thirds of which is paid by people with dementia and their families either through unpaid  care or paid for private social care [ 73 ]). This study  is also linked to the NHS Five Year  Forward View which sets out how health services need to change in order to engage with  patients, carers and citizens to promote wellbeing and prevent ill � health",,,
healthcare,Blackburn with Darwen council first introduced telecare in 2008 but in 2010 examined  telecare delivery models in other areas and set the objective of increasing telecare users  from 60 to 1800.   This programme eventually became branded the �Safe and Well�  programme and has included a contract with Tunstall Healthcare for telecare equipment  and services as well as a number of pilot schemes of new assisted living technologies  such as:,,,
healthcare,The Royal Marsden NHS Foundation Trust has two hospital sites.  These are at Chelsea in  London and Sutton in Surrey.  They also have a Medi cal Daycare Unit at Kingston Hospital  and provide community services in the London Borough of Sutton.  ,,,
healthcare," Automating operations improves healthcare experience  The Abertawe Bro Morgannwg University (ABMU) Health Board envisioned unburdening doctors and nurses of paperwork, while making clinicians more mobile for better care in hospitals and the community. Caring for around 500,000 people in southwest Wales as well as providing a national burn center covering southern Wales and southwest England, ABMU uses Cisco solutions as the foundation of a progressive IT strategy. ",,,
healthcare," A better network for better patient care  To provide the best possible patient care, Baptist Health modernized its IT to support a new electronic health record system and wireless medical devices. Learn how Cisco Services helped implement a new network with near-zero downtime.  ",,,
healthcare, Creating a hyper-efficient IT infrastructure  Cisco HyperFlex helps BLK hospitals to reduce time to deployment of IT Infrastructure while doubling performance ,,,
healthcare,"When Ed Sharp joined Century Care Management two years ago, one of the first things he wanted to address was wireless internet access. �We needed to join the 21st century,� he said. �We finally got serious about it this year.�  Century Care Management, a skilled nursing management company based in Cary, North Carolina, manages eight nursing homes across North Carolina. These facilities offer both short-term and long-term care and rehabilitation, with the smallest facility containing 80 beds and the largest featuring 140. Century Care employs over 400 clinical and 15 corporate staff members.  Century Care originally had one consumer-grade wireless access point (AP) at each facility and at headquarters, but these APs had limited range and could only be used by Century Care's internal staff. �It was very much a stopgap measure,� said Sharp, Director of Support Services",,,
healthcare,See how Cisco DNA helps this hospital securely connect and manage thousands of network devices and deliver excellence in patient care.,,,
healthcare," Cisco ACI enables global data center connectivity  Grifols, a global healthcare and pharmaceutical provider, chose Cisco ACI and the Nexus 9000 as its data center fabric. As a result, this solution enabled global data center connectivity, increased IT efficiency and agility, and delivered an end-to-end automated data center. ",,,
healthcare," Keeping attackers at bay  Using our security solutions, Cisco partners team up to protect an orthodontics office in Michigan from ransomware and other advanced malware attacks. ",,,
healthcare," Scalable foundation for smart hospitals  Halton Healthcare is a multifacility community healthcare organization that continually explores new technologies to better serve its patients. When the organization expanded, it turned to Cisco to upgrade its existing infrastructure with a unified, strategic approach that can reliably and securely support today�s hospitals and can scale to support the hospitals of tomorrow as well. ",,,
healthcare,"Cisco connects hospital systems, employees, and visitors  Technology is an integral part of today�s medical care. Connecting that technology wirelessly throughout the vast Houston Methodist Hospital system was a challenge for the small team of network engineers. With help from Cisco solutions, engineers can pinpoint, diagnose, and fix problems in the wireless network quicker and easier than before",,,
healthcare,healthcare,,,
healthcare, Saving critical minutes with mobile video  Lee Memorial Health System wanted to expand stroke care services in the emergency departments of its four acute care hospitals. They implemented mobile video consultations to take expert care directly to the patient to save critical minutes. ,,,
healthcare,     Reduce travel     Help medical teams collaborate and work more efficiently     Improve care at the bedside ,,,
healthcare," Taking patient care to the highest level  Drawing from deep experience�hundreds of years caring for patients, and 43 hospitals across five states � Mercy designed the Virtual Care Center to bring together the best minds to provide patient-centered care, advance technological innovations, and identify opportunities to make care more accessible, more affordable and more comprehensive. ",,,
healthcare," Adopting a digital healthcare blueprint  Milton Keynes University Hospital wanted its staff to be able to operate at peak performance. But, the IT infrastructure was out-of-date and failure prone. A unified Cisco network is making digital healthcare possible. ",,,
healthcare,     Improve patient access to GP services     Ensure more cost effective use of clinicians time ,,,
healthcare,"Correctional Health Services, a division of NYC Health + Hospitals, manages the delivery of healthcare to approximately 60,000 people moving through the city�s correctional system each year.The organization saw an opportunity to improve the patient and staff experience for specialist care interactions not requiring a live visit.",,,
healthcare,healthcare,,,
healthcare, Oxford University Hospitals boosts security  Learn how Oxford University Hospitals deployed Cisco security based on next-generation ASA firewalls to modernize its IT security systems for enhanced patient confidentiality. ,,,
healthcare,"Cisco ACI supports mission-critical healthcare application  Promedica, a non-profit healthcare organization needed to create a purpose-built and highly available network to support a mission-critical healthcare application",,,
healthcare," Medical networks that analyze and learn  In this age of digitization, hopes and expectations for healthcare have never been greater. With 300-plus care sites, including 12 hospitals, Sentara Healthcare needs to provide a highly secure, digital care environment. They use Cisco technologies to stay ahead of the innovation curve. ",,,
healthcare,"Improving lives through modernized IT operations  Sharp HealthCare caregivers can now access, store, and share data more efficiently through a more secure and available network. Cisco ACI and Splunk data-center solutions have dramatically reduced the time and effort of systems maintenance and audits, and obtained better infrastructure management monitoring and troubleshooting",,,
healthcare,"The Steadman Clinic is a unique organization. It combines the best surgeons in sports medicine and orthopedics in the United States with research in scientists through the Steadman Philippon Research Institute. They needed to:      Upgrade their phone system     Find easy, interactive ways for scientists and surgeons collaborate     Streamline staff communications  ",,,
healthcare," Turning Point transforms its IT infrastructure  Turning Point is a 50-year-old, not-for-profit health and social care provider that serves hospitals, prisons, and primary care settings across England and Wales. This healthcare provider found a digital cure for an ailing IT infrastructure with Cisco Collaboration. ",,,
healthcare," Simplifying data center operations and increasing app visibility and security  University of Utah Health chose Cisco ACI for its data center network. With Cisco ACI, University of Utah Health was able to simplify operations and accelerate application deployments through the automation of their data center infrastructure. Additionally, they were able to increase application visibility and security with the combination of Cisco ACI and Cisco Tetration. ",,,
healthcare,"Saving lives with telemedicine  During a crisis situation in Virginia, the University of Virginia (UVA) Telehealth team was able to use Cisco video collaboration solutions to communicate between emergency responders with injured patients at the front line and physicians in the command center at the hospital",,,
healthcare,"Faced with rising application needs and increased network loads VECOZO needed a new IT model. Success meant improving speed to market, cost control, and business continuity.",,,
healthcare,Customer Stories Speedy and Quality Healthcare in Remote Areas of Vietnam Saves Lives,,,
healthcare," Live radiology diagnostics reduce patient anxiety  vRad, a leading radiology practice and teleradiology company, uses Cisco technology to allow remote care team members to coordinate patient diagnoses more effectively. Quicker diagnoses reduces patient anxiety while still allowing hospitals affordable access to experts. ",,,
healthcare,"Covering an area with 300,000 to 400,000 inhabitants, Wellington Free Ambulance provides free, world-class paramedic care to the people of the greater Wellington and Wairarapa regions of New Zealand. With only 150 full-time paramedics providing frontline ambulance services, no patient information can be miscommunicated or risk not being delivered. This is where Meraki steps in, acting as the backbone to the communications infrastructure to make sure that the biggest challenge of getting the right information to the right people is the last worry for the IT team. Previous to discovering Meraki cloud managed products, Bill Viggers, the IT Manager, along with his team, was using a mixture of networking equipment from different vendors. As soon as Bill joined Wellington Free Ambulance, he saw the need for a more secure network, one that could protect and help transfer sensitive information, while offering more robust features to easily manage the network.   The core network was running on old and unreliable equipment, making the team eager to begin exploring new vendors. As Bill familiarized himself with different options, Meraki quickly stood out amongst the crowd with the intuitive management tool as the key differentiator. The team attended a Meraki webinar and received a MR Access Point (AP). Later, they started a product evaluation for APs and found that the devices �worked really nicely� in the native office environment.",,,
healthcare,"The scenic hills of the Zurich highlands in southeast Switzerland are home to Z�rcher H�henklinik, a rehabilitation clinic with locations in Wald and Davos. The facilities provide both out-patient and in-patient services, seeing about 5,000 patients annually with varying lengths of stay. With treatment machines now relying on WiFi and an increased demand for wireless access, the need arose for a more robust network. Director of IT Andreas Nebel deployed cloud-managed Cisco Meraki access points across all locations, which added significant coverage and reduced management overhead.",,,
healthcare,"The Steadman Clinic is a unique organization. It combines the best surgeons in sports medicine and orthopedics in the United States with research in scientists through the Steadman Philippon Research Institute. They needed to:      Upgrade their phone system     Find easy, interactive ways for scientists and surgeons collaborate     Streamline staff communications  ",,,
automative,"Sensors embedded in roads, railways, airfields and vehicles will communicate with each other through the 5G network. Ericsson is fully aware that this use case is focused on massive machine type communication and is working to ensure that the 5G network has the necessary high coverage and low power consumption.",,,
manufacturing,"5G brings high reliability and low latency required to control critical services and infrastructure. This unlocks new opportunities for public safety, government, city management and utility companies.",,,
agriculture,"5G technology will expand business opportunities through monitoring, tracking and automation capabilities on a large scale - from connected farms and agriculture to smart cities and buildings.",,,
manufacturing,Ericsson's 5G network allows for remote control of heavy machinery. This opens the way for new possibilities such as increased efficiency and reduced cost or risk reduction in hazardous environments.,,,
entertainment,"The high performance of 5G networks will make IoT more accessible by humans, to enhance the awareness of the context in which people live. Ericsson 5G system allows for the context awareness that allows you to fill the gap between people and IoT.",,,
agriculture,"The huge leap forward in connectivity that 5G will bring is set to increase profitability, efficiency and safety across a number of markets globally and many would argue, none more-so than in agriculture and farming.",,,
healthcare,"It is now commonplace for most people to own mobile connected leisure wearables such as fitness trackers that actively capture, process and report real-time data that can then be accessed and assessed by the user. However, with the introduction of 5G, similar trackers will be able to make advantage of much faster connection speeds and ultimately transform the standard doctor/patient relationship around the world.  Clinical tracking devices and low-energy, low bit-rate sensors will allow doctors to remotely monitor and analyse patient�s vitals, activity and even potentially tell them whether the user has taken medication without the need to travel to a surgery or hospital location, freeing up vital time and resources to be used elsewhere. These devices are known as IoMT (Internet of Medical Things).  The data captured by IoMT devices will support fully-predicative analytics, greatly reducing the time it will take to detect a health issue and significantly increasing the accuracy of doctor�s diagnoses.",,,
healthcare,"With 5G services, trips to your local doctor�s surgery could become a thing of the past. With the greatly improved data rates that 5G will bring, 3D ultra-HD live video streaming will allow you to connect with your GP in real-time and even access VR (virtual-reality) services simultaneously to help doctors to explain care and patients understand treatment.  These services are invaluable for those patients who are less able to access physical locations because of health issues or the rural location of their home.  Aside from patient care, the same remote streaming consultations could be used for professional training to other healthcare professionals around the world who would otherwise be confined to text-books or basic online learning resources. Using VR, medical students would be able to virtually follow a real-life example of patient care.",,,
healthcare,"It may sound like something out of a science-fiction movie, but automated, assisted and fully-robotic services has already begun in surgeries around the world and will significantly improve with the introduction of 5G. This includes the use of haptic devices such as gloves, that allow a surgeon to wear a glove-like device to remotely move and �feel� the patient they are operating on from a different location.  The use of such robotic devices could be used for extremely long surgeries where a human surgeon could become fatigued or lose concentration over a long period of time. Also, they could be used as an assistant to a human surgeon, guiding and assessing the patient as the surgeon operates.",,,
healthcare,"Potentially one of the oldest and most important techniques for diagnoses comes from scanning a patient�s body for clues and information in to their condition. With 5G, scanning could be achieved at a fraction of the time it currently takes and made available for review more quickly and to more healthcare professionals in near real-time. The services could also feed in to the video and VR capabilities that 5G would bring, allowing for multiple patient assessment and ultimately more accurate diagnosis.",,,
automative,Connecting private vehicles and public transport with 5G will completely revolutionize the way that we will travel in our day to day lives.,,,
education,"Having   a  network   capable   of  transferring   our   tactile  communication  through  Internet  will  help  us  to  move  from  today �s content  and information  delivery  Internet  to  a  manual  skill set delivery  Internet .  This  will  create  new  ways  of  Tele - teaching and  T ele - mentoring especially for manual  training and skill development . The use of Tactile Internet in education  can bring new definition and experience for distance learning and distance team - working.  In order to have  a natural haptic interaction of ou r limbs with video and audio feedback the response time of service should  be very low, i.e., the round trip  time o f few m illiseconds which can be only envisaged by 5G.",,,
